state,state_postal,total_area_rank,total_area_sq_mi,total_area_km2,land_area_rank,land_area_sq_mi,land_area_km2,percent_land,water_area_rank,water_area_sq_mi,water_area_km2,percent_water
Alaska,AK,1,665384.04,1723337,1,570640.95,1477953,0.8576,1,94743.1,245384,0.1424
Texas,TX,2,268596.46,695662,2,261231.71,676587,0.9726,8,7364.75,19075,0.0274
California,CA,3,163694.74,423967,3,155779.22,403466,0.9516,6,7915.52,20501,0.0484
Montana,MT,4,147039.71,380831,4,145545.8,376962,0.9898,26,1493.91,3869,0.0102
New Mexico,NM,5,121590.3,314917,5,121298.15,314161,0.9976,49,292.15,757,0.0024
Arizona,AZ,6,113990.3,295234,6,113594.08,294207,0.9965,48,396.22,1026,0.0035
Nevada,NV,7,110571.82,286380,7,109781.18,284332,0.9928,36,790.65,2048,0.0072
Colorado,CO,8,104093.67,269601,8,103641.89,268431,0.9957,44,451.78,1170,0.0043
Oregon,OR,9,98378.54,254799,10,95988.01,248608,0.9757,20,2390.53,6191,0.0243
Wyoming,WY,10,97813.01,253335,9,97093.14,251470,0.9926,37,719.87,1864,0.0074
Michigan,MI,11,96713.51,250487,22,56538.9,146435,0.5846,2,40174.61,104052,0.4154
Minnesota,MN,12,86935.83,225163,14,79626.74,206232,0.9159,9,7309.09,18930,0.0841
Utah,UT,13,84896.88,219882,12,82169.62,212818,0.9679,17,2727.26,7064,0.0321
Idaho,ID,14,83568.95,216443,11,82643.12,214045,0.9889,33,925.83,2398,0.0111
Kansas,KS,15,82278.36,213100,13,81758.72,211754,0.9937,42,519.64,1346,0.0063
Nebraska,NE,16,77347.81,200330,15,76824.17,198974,0.9932,41,523.64,1356,0.0068
South Dakota,SD,17,77115.68,199729,16,75811,196350,0.9831,29,1304.68,3379,0.0169
Washington,WA,18,71297.95,184661,20,66455.52,172119,0.9321,11,4842.43,12542,0.0679
North Dakota,ND,19,70698.32,183108,17,69000.8,178711,0.976,24,1697.52,4397,0.024
Oklahoma,OK,20,69898.87,181037,19,68594.92,177660,0.9813,30,1303.95,3377,0.0187
Missouri,MO,21,69706.99,180540,18,68741.52,178040,0.9861,32,965.47,2501,0.0139
Florida,FL,22,65757.7,170312,26,53624.76,138887,0.8155,3,12132.94,31424,0.1845
Wisconsin,WI,23,65496.38,169635,25,54157.8,140268,0.8269,4,11338.57,29367,0.1731
Georgia,GA,24,59425.15,153910,21,57513.49,148959,0.9678,22,1911.66,4951,0.0322
Illinois,IL,25,57913.55,149995,24,55518.93,143793,0.9587,19,2394.62,6202,0.0413
Iowa,IA,26,56272.81,145746,23,55857.13,144669,0.9926,45,415.68,1077,0.0074
New York,NY,27,54554.98,141297,30,47126.4,122057,0.8638,7,7428.58,19240,0.1362
North Carolina,NC,28,53819.16,139391,29,48617.91,125920,0.9034,10,5201.25,13471,0.0966
Arkansas,AR,29,53178.55,137732,27,52035.48,134771,0.9785,31,1143.07,2961,0.0215
Alabama,AL,30,52420.07,135767,28,50645.33,131171,0.9661,23,1774.74,4597,0.0339
Louisiana,LA,31,52378.13,135659,33,43203.9,111898,0.8248,5,9174.23,23761,0.1752
Mississippi,MS,32,48431.78,125438,31,46923.27,121531,0.9689,25,1508.51,3907,0.0311
Pennsylvania,PA,33,46054.34,119280,32,44742.7,115883,0.9715,28,1311.64,3397,0.0285
Ohio,OH,34,44825.58,116098,35,40860.69,105829,0.9115,14,3964.89,10269,0.0885
Virginia,VA,35,42774.93,110787,36,39490.09,102279,0.9232,15,3284.84,8508,0.0768
Tennessee,TN,36,42144.25,109153,34,41234.9,106798,0.9784,35,909.36,2355,0.0216
Kentucky,KY,37,40407.8,104656,37,39486.34,102269,0.9772,34,921.46,2387,0.0228
Indiana,IN,38,36419.55,94326,38,35826.11,92789,0.9837,39,593.44,1537,0.0163
Maine,ME,39,35379.74,91633,39,30842.92,79883,0.8718,12,4536.82,11750,0.1282
South Carolina,SC,40,32020.49,82933,40,30060.7,77857,0.9388,21,1959.79,5076,0.0612
West Virginia,WV,41,24230.04,62756,41,24038.21,62259,0.9921,50,191.83,497,0.0079
Maryland,MD,42,12405.93,32131,42,9707.24,25142,0.7825,18,2698.69,6990,0.2175
Hawaii,HI,43,10931.72,28313,47,6422.63,16635,0.5875,13,4509.09,11678,0.4125
Massachusetts,MA,44,10554.39,27336,45,7800.06,20202,0.739,16,2754.33,7134,0.261
Vermont,VT,45,9616.36,24906,43,9216.66,23871,0.9584,46,399.71,1035,0.0416
New Hampshire,NH,46,9349.16,24214,44,8952.65,23187,0.9576,47,396.51,1027,0.0424
New Jersey,NJ,47,8722.58,22591,46,7354.22,19047,0.8431,27,1368.36,3544,0.1569
Connecticut,CT,48,5543.41,14357,48,4842.36,12542,0.8735,38,701.06,1816,0.1265
Delaware,DE,49,2488.72,6446,49,1948.54,5047,0.7829,40,540.18,1399,0.2171
Rhode Island,RI,50,1544.89,4001,50,1033.81,2678,0.6692,43,511.07,1324,0.3308
District of Columbia,DC,—,68.34,177,—,61.05,158,0.8933,—,7.29,19,0.1067
Puerto Rico,PR,—,5324.84,13791,—,3423.78,8868,0.643,—,1901.07,4924,0.357
Northern Mariana Islands,MP,—,1975.57,5117,—,182.33,472,0.0923,—,1793.24,4644,0.9077
United States Virgin Islands,VI,—,732.93,1898,—,134.32,348,0.1833,—,598.61,1550,0.8167
American Samoa,AS,—,581.05,1505,—,76.46,198,0.1316,—,504.6,1307,0.8684
Guam,GU,—,570.62,1478,—,209.8,543,0.3677,—,360.82,935,0.6323
Minor Outlying Islands,UM,—,16,41,—,16,41,—,—,—,—,—